,polish,check,english,sentence,polish_html,english_html,sentence_html
161,uważać,bądź ostrożny,to be careful,ale trzeba na to uważać,"<h4 style='color:rgb(0, 180, 250)'>uważać</h4>    <p><i><h6>ale trzeba na to uważać </h6></i></p>",<h3>to be careful</h3>,<p><i><h6>ale trzeba na to uważać </h6></i></p>
162,wagona,pochwa,wagon/car/train car,"która może się tu nie zmieścić, to w wagonach bezprzedziałowych","<h4 style='color:rgb(0, 180, 250)'>wagona</h4>    <p><i><h6>która może się tu nie zmieścić, to w wagonach bezprzedziałowych </h6></i></p>",<h3>wagon/car/train car</h3>,"<p><i><h6>która może się tu nie zmieścić, to w wagonach bezprzedziałowych </h6></i></p>"
163,walizka,walizka,suitcase,"nad siedzeniami i wyglądają o tak, więc nasze walizki","<h4 style='color:rgb(0, 180, 250)'>walizka</h4>    <p><i><h6>nad siedzeniami i wyglądają o tak, więc nasze walizki </h6></i></p>",<h3>suitcase</h3>,"<p><i><h6>nad siedzeniami i wyglądają o tak, więc nasze walizki </h6></i></p>"
164,warunek,stan : schorzenie,condition,"więc uważajcie i dokładnie czytajcie warunki, na jakich kupujecie bilet","<h4 style='color:rgb(0, 180, 250)'>warunek</h4>    <p><i><h6>więc uważajcie i dokładnie czytajcie warunki, na jakich kupujecie bilet </h6></i></p>",<h3>condition</h3>,"<p><i><h6>więc uważajcie i dokładnie czytajcie warunki, na jakich kupujecie bilet </h6></i></p>"
165,wcale,w ogóle,at all/really,"to wcale nie musi oznaczać, że wasz polski jest aż taki zły","<h4 style='color:rgb(0, 180, 250)'>wcale</h4>    <p><i><h6>to wcale nie musi oznaczać, że wasz polski jest aż taki zły </h6></i></p>",<h3>at all/really</h3>,"<p><i><h6>to wcale nie musi oznaczać, że wasz polski jest aż taki zły </h6></i></p>"
166,wejść,wejdź,to come in,"Po wejściu na jakikolwiek dworzec w Polsce,","<h4 style='color:rgb(0, 180, 250)'>wejść</h4>    <p><i><h6>Po wejściu na jakikolwiek dworzec w Polsce, </h6></i></p>",<h3>to come in</h3>,"<p><i><h6>Po wejściu na jakikolwiek dworzec w Polsce, </h6></i></p>"
167,widoczny,widoczny,visible," On musi być dobrze widoczny,","<h4 style='color:rgb(0, 180, 250)'>widoczny</h4>    <p><i><h6> On musi być dobrze widoczny, </h6></i></p>",<h3>visible</h3>,"<p><i><h6> On musi być dobrze widoczny, </h6></i></p>"
168,widzieć,zobaczyć,to see,Tam za mną widzicie kasy biletowe,"<h4 style='color:rgb(0, 180, 250)'>widzieć</h4>    <p><i><h6>Tam za mną widzicie kasy biletowe </h6></i></p>",<h3>to see</h3>,<p><i><h6>Tam za mną widzicie kasy biletowe </h6></i></p>
169,wlepić,palma,to cite,"A jeżeli go przy sobie nie macie, to wlepić Wam karę","<h4 style='color:rgb(0, 180, 250)'>wlepić</h4>    <p><i><h6>A jeżeli go przy sobie nie macie, to wlepić Wam karę </h6></i></p>",<h3>to cite</h3>,"<p><i><h6>A jeżeli go przy sobie nie macie, to wlepić Wam karę </h6></i></p>"
170,wniosek,podanie,conclusion,"i dojdziecie do wniosku, że nic z nich nie rozumiecie,","<h4 style='color:rgb(0, 180, 250)'>wniosek</h4>    <p><i><h6>i dojdziecie do wniosku, że nic z nich nie rozumiecie, </h6></i></p>",<h3>conclusion</h3>,"<p><i><h6>i dojdziecie do wniosku, że nic z nich nie rozumiecie, </h6></i></p>"
171,województwo,województwo,province/region,A takie krótsze lokalne trasy w ramach jednego województwa,"<h4 style='color:rgb(0, 180, 250)'>województwo</h4>    <p><i><h6>A takie krótsze lokalne trasy w ramach jednego województwa </h6></i></p>",<h3>province/region</h3>,<p><i><h6>A takie krótsze lokalne trasy w ramach jednego województwa </h6></i></p>
172,wsiadać,dostać się na,to get on,Wsiadając do pociągu koniecznie zwróćcie uwagę,"<h4 style='color:rgb(0, 180, 250)'>wsiadać</h4>    <p><i><h6>Wsiadając do pociągu koniecznie zwróćcie uwagę </h6></i></p>",<h3>to get on</h3>,<p><i><h6>Wsiadając do pociągu koniecznie zwróćcie uwagę </h6></i></p>
173,wsiąść,deska,to board/get on,"to te o numerze wagonu, do którego macie wsiąść,","<h4 style='color:rgb(0, 180, 250)'>wsiąść</h4>    <p><i><h6>to te o numerze wagonu, do którego macie wsiąść, </h6></i></p>",<h3>to board/get on</h3>,"<p><i><h6>to te o numerze wagonu, do którego macie wsiąść, </h6></i></p>"
174,wspierać,pomoc,to support,które wspierają nasz projekt,"<h4 style='color:rgb(0, 180, 250)'>wspierać</h4>    <p><i><h6>które wspierają nasz projekt </h6></i></p>",<h3>to support</h3>,<p><i><h6>które wspierają nasz projekt </h6></i></p>
175,wydarzenie,wydarzenie,event,"na specjalne wydarzenie, które odbywa się w innym mieście,","<h4 style='color:rgb(0, 180, 250)'>wydarzenie</h4>    <p><i><h6>na specjalne wydarzenie, które odbywa się w innym mieście, </h6></i></p>",<h3>event</h3>,"<p><i><h6>na specjalne wydarzenie, które odbywa się w innym mieście, </h6></i></p>"
176,wydawać,wydać,to spend/seem,"Wszyscy inni, którzy nie mają ochoty wydawać pieniędzy","<h4 style='color:rgb(0, 180, 250)'>wydawać</h4>    <p><i><h6>Wszyscy inni, którzy nie mają ochoty wydawać pieniędzy </h6></i></p>",<h3>to spend/seem</h3>,"<p><i><h6>Wszyscy inni, którzy nie mają ochoty wydawać pieniędzy </h6></i></p>"
177,wydrukować,wydrukować,to print,żeby potem go wydrukować albo zapisać u siebie na telefonie,"<h4 style='color:rgb(0, 180, 250)'>wydrukować</h4>    <p><i><h6>żeby potem go wydrukować albo zapisać u siebie na telefonie </h6></i></p>",<h3>to print</h3>,<p><i><h6>żeby potem go wydrukować albo zapisać u siebie na telefonie </h6></i></p>
178,wyglądać,popatrz,to look/seem/appear,"nad siedzeniami i wyglądają o tak, więc nasze walizki","<h4 style='color:rgb(0, 180, 250)'>wyglądać</h4>    <p><i><h6>nad siedzeniami i wyglądają o tak, więc nasze walizki </h6></i></p>",<h3>to look/seem/appear</h3>,"<p><i><h6>nad siedzeniami i wyglądają o tak, więc nasze walizki </h6></i></p>"
179,wymiana,wymieniać się,exchange,ale uniemożliwiają ich zwrot albo wymianę,"<h4 style='color:rgb(0, 180, 250)'>wymiana</h4>    <p><i><h6>ale uniemożliwiają ich zwrot albo wymianę </h6></i></p>",<h3>exchange</h3>,<p><i><h6>ale uniemożliwiają ich zwrot albo wymianę </h6></i></p>
180,wymienić,zastąpić,to replace,Czy bilet kupiony z wyprzedzeniem można zwrócić albo wymienić,"<h4 style='color:rgb(0, 180, 250)'>wymienić</h4>    <p><i><h6>Czy bilet kupiony z wyprzedzeniem można zwrócić albo wymienić </h6></i></p>",<h3>to replace</h3>,<p><i><h6>Czy bilet kupiony z wyprzedzeniem można zwrócić albo wymienić </h6></i></p>
181,wynajmowanie,wynajmowanie,hiring,"niż wynajmowanie roweru na miejscu,","<h4 style='color:rgb(0, 180, 250)'>wynajmowanie</h4>    <p><i><h6>niż wynajmowanie roweru na miejscu, </h6></i></p>",<h3>hiring</h3>,"<p><i><h6>niż wynajmowanie roweru na miejscu, </h6></i></p>"
182,wyprzedzenie,osiągnięcie,advance,Czy warto kupować bilet z wyprzedzeniem,"<h4 style='color:rgb(0, 180, 250)'>wyprzedzenie</h4>    <p><i><h6>Czy warto kupować bilet z wyprzedzeniem </h6></i></p>",<h3>advance</h3>,<p><i><h6>Czy warto kupować bilet z wyprzedzeniem </h6></i></p>
183,wzgląd,wzgląd,sake,"Bez względu na to, czy podróżujecie pociągiem regionalnym,","<h4 style='color:rgb(0, 180, 250)'>wzgląd</h4>    <p><i><h6>Bez względu na to, czy podróżujecie pociągiem regionalnym, </h6></i></p>",<h3>sake</h3>,"<p><i><h6>Bez względu na to, czy podróżujecie pociągiem regionalnym, </h6></i></p>"
184,wziąć,brać,to take,"bo jeżeli chcecie wziąć ze sobą rower,","<h4 style='color:rgb(0, 180, 250)'>wziąć</h4>    <p><i><h6>bo jeżeli chcecie wziąć ze sobą rower, </h6></i></p>",<h3>to take</h3>,"<p><i><h6>bo jeżeli chcecie wziąć ze sobą rower, </h6></i></p>"
185,wózek,wózek,cart/trolley,i różne napoje z takiego wózka,"<h4 style='color:rgb(0, 180, 250)'>wózek</h4>    <p><i><h6>i różne napoje z takiego wózka </h6></i></p>",<h3>cart/trolley</h3>,<p><i><h6>i różne napoje z takiego wózka </h6></i></p>
186,wąski,wąska,narrow,Jeżeli kiedyś będziecie stać na wąskim peronie,"<h4 style='color:rgb(0, 180, 250)'>wąski</h4>    <p><i><h6>Jeżeli kiedyś będziecie stać na wąskim peronie </h6></i></p>",<h3>narrow</h3>,<p><i><h6>Jeżeli kiedyś będziecie stać na wąskim peronie </h6></i></p>
187,zacisze,wycofać się,retreat,"na spokojnie, w Waszym domowym zaciszu","<h4 style='color:rgb(0, 180, 250)'>zacisze</h4>    <p><i><h6>na spokojnie, w Waszym domowym zaciszu </h6></i></p>",<h3>retreat</h3>,"<p><i><h6>na spokojnie, w Waszym domowym zaciszu </h6></i></p>"
188,zajrzeć,popatrz,to look/check,to koniecznie zajrzyjcie na naszego Instagrama,"<h4 style='color:rgb(0, 180, 250)'>zajrzeć</h4>    <p><i><h6>to koniecznie zajrzyjcie na naszego Instagrama </h6></i></p>",<h3>to look/check</h3>,<p><i><h6>to koniecznie zajrzyjcie na naszego Instagrama </h6></i></p>
189,zależność,zależność,dependence," w zależności od tego, w którym jesteście województwie","<h4 style='color:rgb(0, 180, 250)'>zależność</h4>    <p><i><h6> w zależności od tego, w którym jesteście województwie </h6></i></p>",<h3>dependence</h3>,"<p><i><h6> w zależności od tego, w którym jesteście województwie </h6></i></p>"
190,zaopatrzony,wyposażony,equipped/stocked,"My, zaopatrzone w drożdżówki, ruszamy na peron","<h4 style='color:rgb(0, 180, 250)'>zaopatrzony</h4>    <p><i><h6>My, zaopatrzone w drożdżówki, ruszamy na peron </h6></i></p>",<h3>equipped/stocked</h3>,"<p><i><h6>My, zaopatrzone w drożdżówki, ruszamy na peron </h6></i></p>"
191,zapewny,prawdopodobnie,probably,"to zapewne dużo łatwiej będzie Wam to zrobić przez Internet,","<h4 style='color:rgb(0, 180, 250)'>zapewny</h4>    <p><i><h6>to zapewne dużo łatwiej będzie Wam to zrobić przez Internet, </h6></i></p>",<h3>probably</h3>,"<p><i><h6>to zapewne dużo łatwiej będzie Wam to zrobić przez Internet, </h6></i></p>"
192,zapisać,zanotować,to write down,żeby potem go wydrukować albo zapisać u siebie na telefonie,"<h4 style='color:rgb(0, 180, 250)'>zapisać</h4>    <p><i><h6>żeby potem go wydrukować albo zapisać u siebie na telefonie </h6></i></p>",<h3>to write down</h3>,<p><i><h6>żeby potem go wydrukować albo zapisać u siebie na telefonie </h6></i></p>
193,zaplanować,planować,to plan,"więc jeżeli zaplanujecie sobie pracę na ten czas podróży,","<h4 style='color:rgb(0, 180, 250)'>zaplanować</h4>    <p><i><h6>więc jeżeli zaplanujecie sobie pracę na ten czas podróży, </h6></i></p>",<h3>to plan</h3>,"<p><i><h6>więc jeżeli zaplanujecie sobie pracę na ten czas podróży, </h6></i></p>"
194,zapowiedzi,ogłoszenia,announcements,"i przysłuchiwać się tym zapowiedziom podawanym przez megafon,","<h4 style='color:rgb(0, 180, 250)'>zapowiedzi</h4>    <p><i><h6>i przysłuchiwać się tym zapowiedziom podawanym przez megafon, </h6></i></p>",<h3>announcements</h3>,"<p><i><h6>i przysłuchiwać się tym zapowiedziom podawanym przez megafon, </h6></i></p>"
195,zapowiedzić,ogłaszać,to announce,"Polacy tak naprawdę często też tych zapowiedzi nie rozumieją,","<h4 style='color:rgb(0, 180, 250)'>zapowiedzić</h4>    <p><i><h6>Polacy tak naprawdę często też tych zapowiedzi nie rozumieją, </h6></i></p>",<h3>to announce</h3>,"<p><i><h6>Polacy tak naprawdę często też tych zapowiedzi nie rozumieją, </h6></i></p>"
196,zaproszenie,zaproszenie,invitation,"to odpowiedź jest taka, że dostałyśmy zaproszenie","<h4 style='color:rgb(0, 180, 250)'>zaproszenie</h4>    <p><i><h6>to odpowiedź jest taka, że dostałyśmy zaproszenie </h6></i></p>",<h3>invitation</h3>,"<p><i><h6>to odpowiedź jest taka, że dostałyśmy zaproszenie </h6></i></p>"
197,zapłacić,płacić,to pay,"że za dedykowane miejsce trzeba sobie dodatkowo zapłacić,","<h4 style='color:rgb(0, 180, 250)'>zapłacić</h4>    <p><i><h6>że za dedykowane miejsce trzeba sobie dodatkowo zapłacić, </h6></i></p>",<h3>to pay</h3>,"<p><i><h6>że za dedykowane miejsce trzeba sobie dodatkowo zapłacić, </h6></i></p>"
198,zastosować,zastosować,to apply/follow,Trzeba się do tych zasad po prostu dokładnie zastosować,"<h4 style='color:rgb(0, 180, 250)'>zastosować</h4>    <p><i><h6>Trzeba się do tych zasad po prostu dokładnie zastosować </h6></i></p>",<h3>to apply/follow</h3>,<p><i><h6>Trzeba się do tych zasad po prostu dokładnie zastosować </h6></i></p>
199,zawieszony,zawieszony,suspended,zawieszonym gdzieś u góry,"<h4 style='color:rgb(0, 180, 250)'>zawieszony</h4>    <p><i><h6>zawieszonym gdzieś u góry </h6></i></p>",<h3>suspended</h3>,<p><i><h6>zawieszonym gdzieś u góry </h6></i></p>
200,zaznaczyć,znak,to mark/select,albo zaznaczyć odpowiednią opcję,"<h4 style='color:rgb(0, 180, 250)'>zaznaczyć</h4>    <p><i><h6>albo zaznaczyć odpowiednią opcję </h6></i></p>",<h3>to mark/select</h3>,<p><i><h6>albo zaznaczyć odpowiednią opcję </h6></i></p>
201,załatwić,zorganizować,to arrange,ale swoje podstawowe potrzeby na pewno w niej załatwicie,"<h4 style='color:rgb(0, 180, 250)'>załatwić</h4>    <p><i><h6>ale swoje podstawowe potrzeby na pewno w niej załatwicie </h6></i></p>",<h3>to arrange</h3>,<p><i><h6>ale swoje podstawowe potrzeby na pewno w niej załatwicie </h6></i></p>
202,zbyt,także,too,"Ale jeżeli nie mówicie zbyt dobrze po polsku,","<h4 style='color:rgb(0, 180, 250)'>zbyt</h4>    <p><i><h6>Ale jeżeli nie mówicie zbyt dobrze po polsku, </h6></i></p>",<h3>too</h3>,"<p><i><h6>Ale jeżeli nie mówicie zbyt dobrze po polsku, </h6></i></p>"
203,zdecydować się,podjąć decyzję,to decide,"A jeżeli zdecydujecie się kupić bilet w kasie,","<h4 style='color:rgb(0, 180, 250)'>zdecydować się</h4>    <p><i><h6>A jeżeli zdecydujecie się kupić bilet w kasie, </h6></i></p>",<h3>to decide</h3>,"<p><i><h6>A jeżeli zdecydujecie się kupić bilet w kasie, </h6></i></p>"
204,zdradzić,zdradzać,to betray,"Ale Aga zdradziła mi podczas tej podróży właśnie,","<h4 style='color:rgb(0, 180, 250)'>zdradzić</h4>    <p><i><h6>Ale Aga zdradziła mi podczas tej podróży właśnie, </h6></i></p>",<h3>to betray</h3>,"<p><i><h6>Ale Aga zdradziła mi podczas tej podróży właśnie, </h6></i></p>"
205,zestawić,położyć razem,to put together,Ja na przykład przygotowałam nowy zestaw ćwiczeń,"<h4 style='color:rgb(0, 180, 250)'>zestawić</h4>    <p><i><h6>Ja na przykład przygotowałam nowy zestaw ćwiczeń </h6></i></p>",<h3>to put together</h3>,<p><i><h6>Ja na przykład przygotowałam nowy zestaw ćwiczeń </h6></i></p>
206,zjeść,jeść,to eat," Można tam się napić kawy, zjeść coś małego","<h4 style='color:rgb(0, 180, 250)'>zjeść</h4>    <p><i><h6> Można tam się napić kawy, zjeść coś małego </h6></i></p>",<h3>to eat</h3>,"<p><i><h6> Można tam się napić kawy, zjeść coś małego </h6></i></p>"
207,zmieścić się,dopasowanie,to fit/accommodate,"która może się tu nie zmieścić, to w wagonach bezprzedziałowych","<h4 style='color:rgb(0, 180, 250)'>zmieścić się</h4>    <p><i><h6>która może się tu nie zmieścić, to w wagonach bezprzedziałowych </h6></i></p>",<h3>to fit/accommodate</h3>,"<p><i><h6>która może się tu nie zmieścić, to w wagonach bezprzedziałowych </h6></i></p>"
208,zniżka,rabat,discount,"albo osobą z niepełnosprawnościami, przysługują Wam zniżki","<h4 style='color:rgb(0, 180, 250)'>zniżka</h4>    <p><i><h6>albo osobą z niepełnosprawnościami, przysługują Wam zniżki </h6></i></p>",<h3>discount</h3>,"<p><i><h6>albo osobą z niepełnosprawnościami, przysługują Wam zniżki </h6></i></p>"
209,zostawić,zostawiać,to leave,Tam zostawimy Wam przypiętą relację z tego dnia,"<h4 style='color:rgb(0, 180, 250)'>zostawić</h4>    <p><i><h6>Tam zostawimy Wam przypiętą relację z tego dnia </h6></i></p>",<h3>to leave</h3>,<p><i><h6>Tam zostawimy Wam przypiętą relację z tego dnia </h6></i></p>
210,zwrot,powrót,return/reimbursement,ale uniemożliwiają ich zwrot albo wymianę,"<h4 style='color:rgb(0, 180, 250)'>zwrot</h4>    <p><i><h6>ale uniemożliwiają ich zwrot albo wymianę </h6></i></p>",<h3>return/reimbursement</h3>,<p><i><h6>ale uniemożliwiają ich zwrot albo wymianę </h6></i></p>
211,zwłaszcza,zwłaszcza,especially," Zwłaszcza, że PKP kusi ostatnio","<h4 style='color:rgb(0, 180, 250)'>zwłaszcza</h4>    <p><i><h6> Zwłaszcza, że PKP kusi ostatnio </h6></i></p>",<h3>especially</h3>,"<p><i><h6> Zwłaszcza, że PKP kusi ostatnio </h6></i></p>"
212,żaden,nie,none,że tutaj żadnego kodu QR nie ma,"<h4 style='color:rgb(0, 180, 250)'>żaden</h4>    <p><i><h6>że tutaj żadnego kodu QR nie ma </h6></i></p>",<h3>none</h3>,<p><i><h6>że tutaj żadnego kodu QR nie ma </h6></i></p>
